hhld_num,pers_num,trip_num,trip_purp,start_time,mode_prime,purp_orig,purp_dest,trip_km,trip_man_km,car_pool,region_orig,waterzn_orig,region_dest,waterzn_dest,expf
670749,3,1,1,715,D,H,W,24,26,1,12,121673,13,0,34.92
670770,1,1,1,600,D,H,W,68,91,3,12,120082,98,0,31.95
322802,2,2,4,1935,P,O,O,2,3,0,14,0,14,0,20.16
672834,1,1,1,735,D,H,W,20,26,1,12,121393,13,0,26.51
957074,1,5,3,1725,D,H,O,1,1,1,12,121634,12,121008,11.18
322802,2,1,3,1900,P,H,O,5,6,0,12,120249,14,0,20.16
674210,1,4,3,1800,D,H,O,4,6,3,12,120008,12,120005,23.53
322803,1,1,3,1300,P,H,M,29,32,0,12,121195,23,0,20.65
676776,1,1,1,700,D,H,W,21,29,1,12,122041,12,120415,25.03
217946,1,8,3,1645,D,H,O,11,16,2,12,122126,13,0,13.11
290373,2,1,2,900,D,H,S,11,15,1,12,120039,12,120082,29.74
681953,1,1,1,520,D,H,W,28,36,1,12,121474,14,0,30.52
682144,2,1,3,730,D,H,O,118,157,1,12,120100,16,0,32.13
338970,1,1,3,830,P,H,M,7,8,0,12,122076,12,120069,12.84
322914,1,1,1,700,D,H,W,17,24,1,12,121369,12,122103,5.05
683100,2,1,3,805,D,H,R,32,41,1,12,121632,13,0,29.93
239443,1,3,4,1115,D,W,R,9,12,3,1,0,1,0,19.63
687414,1,4,3,1700,D,H,O,20,28,2,12,121067,13,0,14.43
993929,2,1,3,505,D,H,O,22,29,1,12,120950,13,0,15
757494,1,1,1,730,D,H,W,15,22,1,12,121605,13,0,22.09
322967,1,1,1,730,D,H,W,3,4,1,12,121407,12,120017,13.88
322967,1,2,1,1745,D,W,H,3,4,1,12,120017,12,121407,13.88
322967,1,4,3,2100,P,O,H,3,4,0,12,120980,12,121407,13.88
322967,2,4,3,2100,D,O,H,3,4,3,12,120980,12,121407,13.88
322986,1,2,3,1430,D,O,H,3,4,1,12,122070,12,122095,14.85
343192,1,2,3,2305,D,O,H,5,7,1,12,121257,12,121134,17.95
323003,1,1,3,845,D,H,F,1,1,4,12,121454,12,122088,21.15
323003,1,2,3,900,D,F,H,1,1,2,12,122088,12,121454,21.15
322990,2,1,1,730,D,H,W,54,69,1,12,121981,4,0,56.79
322990,4,1,1,630,D,H,W,26,28,1,12,121981,23,0,56.79
323003,1,3,3,1455,D,H,F,1,1,2,12,121454,12,122088,21.15
322990,4,2,1,1700,D,W,H,26,28,1,23,0,12,121981,56.79
323003,1,4,3,1525,D,F,H,1,1,4,12,122088,12,121454,21.15
698897,1,1,3,1430,P,H,M,4,5,0,12,120068,12,121578,54.98
323025,1,2,1,1630,D,W,H,4,5,1,12,121530,12,121342,22.44
323025,2,1,1,545,D,H,W,3,4,1,12,121342,12,122117,22.44
323025,2,2,1,1430,D,W,H,3,4,1,12,122117,12,121342,22.44
323025,2,3,3,1830,D,H,O,6,8,2,12,121342,12,120138,22.44
323028,2,1,1,1430,D,H,W,10,11,1,12,122121,13,0,21.63
704757,3,1,1,800,D,H,W,41,57,1,12,121411,23,0,13.47
705353,2,1,2,900,D,H,S,19,25,1,12,121133,13,0,19.1
707207,1,1,3,730,D,H,O,11,13,1,12,121632,98,0,13.59
709225,1,1,1,930,D,H,W,13,14,1,12,120265,13,0,6.7
323154,1,2,3,1040,C,M,H,2,2,0,12,121302,12,122045,8.74
323154,1,3,3,1845,P,H,O,1,2,0,12,122045,12,121116,8.74
323154,1,4,3,2030,P,O,H,1,2,0,12,121116,12,122045,8.74
323176,1,1,3,1000,D,H,M,2,3,1,12,121175,12,121229,91.08
323176,2,2,1,1700,C,W,H,4,5,0,12,122047,12,121175,91.08
728091,1,1,1,845,D,H,W,15,19,1,12,120066,13,0,35.89
728563,2,1,1,630,D,H,W,26,29,1,12,121478,23,0,16.99
732641,2,1,1,915,D,H,W,30,33,1,12,122083,14,0,31.42
190471,1,1,1,830,D,H,W,15,21,1,12,121278,12,120924,26.14
190471,1,3,3,1800,D,O,H,18,24,1,12,120600,12,121278,26.14
190471,3,2,1,1500,W,W,H,1,1,0,12,121922,12,121278,26.14
737628,2,1,1,1450,D,H,W,12,12,1,12,122128,13,0,37
737628,3,1,1,650,D,H,W,12,12,1,12,122128,13,0,37
738876,1,3,4,1600,M,O,O,27,30,0,12,120403,23,0,53.38
323381,1,8,3,1520,D,O,H,4,6,1,12,121023,12,121409,26.7
476549,1,1,1,1115,D,H,W,21,26,1,12,121242,13,0,14.91
323419,1,1,1,600,D,H,W,8,11,1,12,120046,12,120842,12.24
323419,1,2,1,1700,D,W,H,8,11,1,12,120842,12,120046,12.24
323419,2,1,1,800,D,H,W,4,5,1,12,120046,12,121974,12.24
424254,1,1,1,730,D,H,W,25,26,1,12,121136,14,0,9.56
323425,1,2,3,1500,P,O,H,5,7,0,12,121601,12,120067,10.89
479707,1,1,1,825,D,H,W,16,23,1,12,121164,13,0,25.25
223516,2,1,1,830,D,H,W,2,2,1,12,122127,12,120121,11.64
667339,1,1,1,900,B,H,W,3,4,0,12,120954,12,121875,3.38
837029,1,1,1,905,D,H,W,2,2,1,12,121161,12,121278,20.11
837029,1,3,3,2040,D,O,H,4,5,1,12,121006,12,121161,20.11
822284,2,11,3,1730,D,W,H,13,16,1,12,120339,12,120877,37.65
481564,4,1,3,800,B,H,M,2,3,0,12,120039,12,121288,15.22
481954,1,2,4,1320,D,W,R,20,29,1,12,122066,13,0,19.41
190977,3,3,3,1515,P,O,H,10,14,0,12,120989,12,120076,39.79
190977,4,1,2,740,S,H,S,3,4,0,12,120076,12,120895,39.79
190977,4,2,2,1435,S,S,H,3,4,0,12,120895,12,120076,39.79
190977,4,3,3,1535,P,H,O,24,32,0,12,120076,12,121635,39.79
190977,4,4,3,2050,P,O,H,24,32,0,12,121635,12,120076,39.79
191112,1,4,3,1715,D,O,H,5,7,1,12,121942,12,121421,18.3
323578,2,1,3,930,D,H,O,31,32,1,12,120202,12,120138,16.08
323578,2,2,3,1230,D,O,H,31,32,1,12,120138,12,120202,16.08
203148,3,2,1,2300,D,H,W,22,24,1,12,121389,13,0,9.85
960263,1,4,4,1515,D,W,R,124,163,1,98,0,3,0,18.84
323604,2,1,3,1750,D,H,O,2,2,1,12,121426,12,122089,20.57
323604,2,2,3,2040,D,O,H,2,2,1,12,122089,12,121426,20.57
210027,2,1,1,700,D,H,W,35,47,1,12,121500,14,0,10.55
323655,1,2,4,1215,D,M,M,3,3,1,12,121944,12,122070,19.99
323655,1,3,3,1300,D,M,H,2,3,1,12,122070,12,121414,19.99
323655,2,1,3,1130,D,H,O,3,4,1,12,121414,12,122082,19.99
323655,2,2,3,1245,D,O,H,3,4,1,12,122082,12,121414,19.99
323655,3,1,2,830,B,H,S,4,5,0,12,121414,12,120025,19.99
323655,3,2,2,1800,B,S,H,4,5,0,12,120025,12,121414,19.99
323655,4,1,2,745,W,H,S,1,1,0,12,121414,12,121411,19.99
323680,1,2,1,1230,D,W,H,2,3,1,12,120139,12,121488,16.04
323680,1,3,3,1330,D,H,R,2,3,1,12,121488,12,120139,16.04
323680,1,4,1,1830,D,W,H,2,3,1,12,120139,12,121488,16.04
323680,1,5,3,1845,P,H,M,6,6,0,12,121488,12,120906,16.04
323692,1,1,3,1200,D,H,M,6,7,1,12,120328,12,120350,42.13
323692,1,2,3,1300,D,M,H,6,7,1,12,120350,12,120328,42.13
501843,1,1,3,745,D,H,O,159,220,2,12,121975,17,0,13.27
323820,1,1,1,715,D,H,W,16,21,1,12,122047,12,120403,15.92
323820,2,4,3,1930,D,M,H,5,7,1,12,120069,12,122047,15.92
413570,2,2,1,1730,D,W,H,75,106,1,98,0,12,121409,14.32
818156,4,2,4,1740,P,S,O,22,27,0,12,120139,13,0,11.13
323832,1,1,3,1005,D,H,O,4,5,1,12,121076,12,121068,12.44
323832,1,2,3,1100,D,O,H,4,5,1,12,121068,12,121076,12.44
323860,1,1,3,1100,D,H,O,7,9,1,12,121966,12,121612,21.49
323860,1,2,3,1630,D,O,H,7,9,1,12,121612,12,121966,21.49
323869,1,1,3,800,D,H,O,2,3,1,12,120023,12,120028,24.4
323869,1,2,3,815,D,O,H,2,3,1,12,120028,12,120023,24.4
191112,3,1,2,705,B,H,S,6,8,0,12,121421,12,121166,18.3
191112,3,2,2,1410,B,S,H,6,8,0,12,121166,12,121421,18.3
770450,1,1,1,820,D,H,W,7,9,1,12,122083,12,121679,30.13
770450,1,2,1,1630,D,W,H,7,9,1,12,121679,12,122083,30.13
770450,2,1,1,830,D,H,W,3,3,1,12,122083,12,120068,30.13
770450,2,2,1,1600,D,W,H,3,3,1,12,120068,12,122083,30.13
836299,1,1,1,845,D,H,W,27,32,1,12,121634,13,0,16.11
323939,2,5,1,2231,P,W,H,2,2,0,12,122067,12,121969,12.37
323971,1,1,3,1305,D,H,M,1,1,1,12,120951,12,121920,19.12
323971,1,2,3,1500,D,M,H,1,1,1,12,121920,12,120951,19.12
323971,4,1,2,910,D,H,S,52,69,1,12,120951,6,0,19.12
323971,4,3,3,2035,D,H,O,19,26,1,12,120951,13,0,19.12
323971,1,3,3,1515,D,H,O,3,4,2,12,120951,12,121781,19.12
323971,1,4,3,1645,D,O,H,3,4,2,12,121781,12,120951,19.12
529902,1,4,3,1935,D,M,H,15,21,1,12,121805,12,121703,20.81
531243,1,1,1,810,D,H,W,25,33,1,12,120369,13,0,34.13
323971,2,4,3,1710,D,W,H,1,1,1,12,120948,12,120951,19.12
323987,1,1,3,1300,P,H,M,3,3,0,12,121662,12,121201,19.31
324032,1,1,3,1045,D,H,O,128,177,2,12,121398,16,0,12.22
326357,4,2,2,1520,W,S,H,1,1,0,12,121407,12,121408,23.6
324028,1,2,4,1140,D,O,M,15,21,1,12,120202,12,121095,15.3
324028,1,3,3,1300,D,M,H,1,2,1,12,121095,12,120022,15.3
224905,2,3,4,1230,D,W,O,8,11,2,12,120964,12,121256,27.08
192732,1,7,4,1255,D,O,F,5,7,2,12,120300,12,120116,18.49
192732,1,9,4,1335,D,O,O,4,4,2,12,121657,12,120116,18.49
192732,1,10,4,1350,D,O,O,4,4,2,12,120116,12,121657,18.49
192732,1,12,3,1430,D,F,H,4,6,1,12,120116,12,121478,18.49
837347,1,1,1,900,W,H,W,1,1,0,12,121694,12,120952,20.66
537213,1,1,1,715,D,H,W,25,32,1,12,120079,14,0,11.83
540291,1,1,1,715,D,H,W,17,21,1,12,122110,14,0,19.47
770472,1,3,3,1100,D,H,O,2,3,1,12,122093,12,121425,4.17
324134,1,5,3,1745,D,H,M,23,31,1,12,121181,12,121157,29.68
324134,1,6,3,1850,D,M,H,23,31,1,12,121157,12,121181,29.68
324151,1,2,3,1630,B,M,H,3,4,0,12,121444,12,122075,12.84
324194,1,1,3,1100,D,H,M,3,4,2,12,121799,12,120069,11.76
324194,1,2,4,1300,D,M,M,3,3,2,12,120069,12,121227,11.76
324194,1,3,3,1400,D,M,H,2,2,2,12,121227,12,121799,11.76
324194,2,2,4,1300,P,M,M,3,3,0,12,120069,12,121227,11.76
324194,2,3,3,1400,P,M,H,2,2,0,12,121227,12,121799,11.76
197512,1,2,1,1430,D,W,H,14,15,1,12,121657,12,120067,33.04
197512,1,3,3,1830,D,H,O,3,4,1,12,120067,12,121267,33.04
197512,1,4,3,2000,D,O,H,3,4,1,12,121267,12,120067,33.04
197512,2,1,1,500,D,H,W,10,10,1,12,120067,12,120108,33.04
